NO_OF_FRAMES	3000
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-06-28, 17:16:30.991	1829317.80032220
DATA_INCLUDED	6D
BODY_NAMES	Drone
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
84	0.83000	-2.83412	-2.75322	13.56364	-178.91154	1.14915	-86.41640	0.35189	0.06249	0.99784	0.02021	0.99784	-0.06287	0.01882	0.02006	0.01899	-0.99962	
85	0.84000	-2.88857	-2.72544	13.58464	-178.84204	1.18431	-86.43151	0.43896	0.06223	0.99783	0.02146	0.99785	-0.06265	0.01937	0.02067	0.02020	-0.99958	
86	0.85000	-2.85705	-2.76405	13.57704	-178.86176	1.18610	-86.42715	0.39899	0.06230	0.99783	0.02112	0.99784	-0.06272	0.01942	0.02070	0.01986	-0.99959	
87	0.86000	-2.83314	-2.76688	13.64143	-178.78737	1.21738	-86.42207	0.37900	0.06239	0.99780	0.02245	0.99783	-0.06284	0.01988	0.02125	0.02116	-0.99955	
88	0.87000	-2.82710	-2.76393	13.59507	-178.89096	1.14759	-86.39836	0.36797	0.06281	0.99781	0.02057	0.99782	-0.06319	0.01877	0.02003	0.01935	-0.99961	
89	0.88000	-2.84233	-2.75812	13.55537	-178.94534	1.19721	-86.41399	0.34974	0.06253	0.99785	0.01968	0.99782	-0.06292	0.01970	0.02089	0.01840	-0.99961	
90	0.89000	-2.85585	-2.76390	13.56342	-178.84958	1.18441	-86.42760	0.37595	0.06230	0.99783	0.02133	0.99784	-0.06271	0.01938	0.02067	0.02007	-0.99958	
91	0.90000	-2.83396	-2.78749	13.63700	-178.78171	1.20404	-86.39922	0.44270	0.06279	0.99777	0.02254	0.99781	-0.06324	0.01963	0.02101	0.02126	-0.99955	
92	0.91000	-2.80282	-2.76793	13.60312	-178.85794	1.15725	-86.41946	0.37482	0.06244	0.99782	0.02115	0.99784	-0.06284	0.01891	0.02020	0.01993	-0.99960	
93	0.92000	-2.84897	-2.76884	13.54707	-178.91086	1.20912	-86.42387	0.37811	0.06236	0.99785	0.02029	0.99783	-0.06276	0.01987	0.02110	0.01900	-0.99960	
