Timestamp,x,y,z,vx,vy,vz,Yaw,ref x,ref y,ref z,ref vx,ref vy,ref vz,Thrust controller,Roll controller,Pitch controller,Roll drone,Pitch drone,Yaw drone,Thrust drone,
2805730,1.0857094526290894,0.2300923764705658,0.5220114588737488,0.13867543637752533,0.275148868560791,0.15304088592529297,0,1,0.001,0.606061,0,0,0,2.2817352115917595,-0.02050685371183195,-0.023616905064613728,-1.1749561687801573,-1.3531489853635053,0,44192,
2805927,1.109372854232788,0.28940755128860474,0.5477406978607178,0.11756665259599686,0.3212383985519409,0.12779276072978973,0,1.014,0.029,0.636364,0,0,0,2.2898512683854055,-0.012627098932370222,-0.024025044909488615,-0.7234794763189615,-1.3765336759259605,0,44349,
2806027,1.119053602218628,0.3211933374404907,0.560433566570282,0.10620085150003433,0.3359529376029968,0.12451818585395813,0,1.024,0.064,0.666667,0,0,0,2.2955403382270365,-0.013154560316494288,-0.02477004785657223,-0.7537007874853991,-1.41921920051866,0,44460,
2806227,1.132029414176941,0.3916904628276825,0.5797404646873474,0.05727260187268257,0.35770541429519653,0.10653647780418396,0,1.031,0.105,0.69697,0,0,0,2.303206553026623,-0.006619096062005177,-0.020549546358778325,-0.3792462685445601,-1.1774022772664265,0,44608,
2806329,1.138724684715271,0.41993358731269836,0.5993598699569702,0.06068268418312073,0.3377673327922821,0.1563718318939209,0,1.036,0.152,0.727273,0,0,0,2.2922280886061546,-0.01192360913325838,-0.0249922284660408,-0.6831724798993467,-1.4319492117308534,0,44395,
2806531,1.147199273109436,0.48491406440734863,0.6289205551147461,0.05379780754446983,0.34227290749549866,0.15452617406845093,0,1.041,0.206,0.757576,0,0,0,2.29295159593515,-0.007378061459362941,-0.028716092277521584,-0.4227317826096295,-1.6453108916102026,0,44409,
2806627,1.148747205734253,0.5183894038200378,0.6440796256065369,0.03877990320324898,0.34479251503944397,0.15637081861495972,0,1.047,0.265,0.787879,0,0,0,2.2963198890247067,-0.006594368120688396,-0.031060694619059435,-0.37782946187106137,-1.7796467104168119,0,44475,
2806827,1.1450037956237793,0.5855246186256409,0.6732749342918396,-0.002773815067484975,0.349904865026474,0.14909596741199493,0,1.054,0.33,0.818182,0,0,0,2.2985543706582474,5.8147028112147265e-05,-0.0302894642083318,0.003331579302054589,-1.7354584628499774,0,44518,
2807027,1.1304187774658203,0.6469523310661316,0.6916047930717468,-0.06896507740020752,0.32785147428512573,0.13172918558120728,0,1.062,0.399,0.848485,0,0,0,2.3062668938996156,0.0024266620909052508,-0.025380412557001894,0.13903749611326258,-1.4541905218170463,0,44667,
2807127,1.1206132173538208,0.6782957911491394,0.7033526301383972,-0.10211652517318726,0.3444938361644745,0.12638284265995026,0,1.072,0.472,0.878788,0,0,0,2.312783804454828,0.007838298964695624,-0.027301489471424956,0.4491014492388219,-1.5642601211335028,0,44793,
2807327,1.0830721855163574,0.7544053196907043,0.7356230616569519,-0.2115447074174881,0.3774951994419098,0.14544738829135895,0,1.084,0.547,0.909091,0,0,0,2.307108959284759,0.022890848754396585,-0.015089850630752003,1.311549023099222,-0.864584754624913,0,44684,
2807427,1.0601376295089722,0.7925869822502136,0.7505324482917786,-0.24180035293102264,0.37764596939086914,0.15196815133094788,0,1.095,0.623,0.939394,0,0,0,2.310162749973945,0.028229624554472837,-0.01744685852834337,1.6174383442101703,-0.9996313594359018,0,44743,
2807627,1.0071524381637573,0.8665122985839844,0.7820461988449097,-0.2850087583065033,0.35687920451164246,0.16370253264904022,0,1.106,0.699,0.969697,0,0,0,2.3072576833527476,0.035860832901881336,-0.014714515162776165,2.054674375101681,-0.8430796164083297,0,44686,
2807727,1.0288532972335815,0.9191873669624329,0.7888305187225342,-0.14803701639175415,0.37868839502334595,0.14164119958877563,0,1.115,0.772,1,0,0,0,2.323169755059651,0.04773137899656837,-0.049295353906893484,2.7348065668427495,-2.8244157284687303,0,44995,
2807927,0.9890683889389038,0.9164711833000183,0.8268970251083374,-0.16670504212379456,0.15967553853988647,0.09397482126951218,0,1.121,0.842,1.0303,0,0,0,2.332162504213022,0.014385384426982256,-0.05244387279001582,0.8242218143393034,-3.0048125721888836,0,45169,
2808027,0.9700208902359009,0.9393060803413391,0.8364683389663696,-0.13703961670398712,0.09244859218597412,0.10255088657140732,0,1.121,0.907,1.06061,0,0,0,2.3350803887389096,0.009370530472343507,-0.06600702487982146,0.5368918478640127,-3.78192394382879,0,45225,
2808227,0.9290082454681396,0.9516202211380005,0.8265008926391602,-0.24040527641773224,0.023190684616565704,-0.015617464669048786,0,1.114,0.964,1.09091,0,0,0,2.3748373932314513,0.002919367776616288,-0.05571561265112904,0.16726745244660424,-3.1922694578953896,0,45995,
